تشخیص و تصدیق هویت	ردیف	شرح ویژگی	وضعیت	مرتبه اجرا	توضیحات 
	1	"برنامه‌ي كاربردي بايد قبل از اعطاي حق دسترسي به منابع و نقش‌ها، هويت كاربران را تصديق كند."	تکمیل		
	2	"برنامه‌ي كاربردي بايد هويت تمامي برنامه‌ها و موجوديت‌های  بیرونی كه از طرف كاربر عملي را انجام مي‌دهند و با اين نرم افزار  نعامل دارند، را بررسي و با حداقل حقوق دسترسی تصديق كند"	درحال اجرا		
	3	"قبل از اجازه‌ي دسترسي به منابع، برنامه‌ي كاربردي بايد پيام اخطاري را که شامل موارد زير است به اطلاع كاربر برساند:
‌(1) كاربر به سامانه .....‌سازمان وارد شده است.
 (2)سامانه داراي طبقه بندي ...... مي باشد.
‌(3) اعلان ردگيري و بازبيني فعاليت‌هاي كاربر وجود دارد.
‌(4) كاربر در قبال اطلاعات حساس مورد دست‌یابی مسئول می باشد.
"	تکمیل		
	4	"اطلاعات مشخص شده بر حسب شناسه‌ي كاربري شامل، تاريخ، زمان، آدرس IP و نام دامنه‌ي چند ورود اخير كاربر و تعداد دفعات تلاش براي ورودهاي ناموفق، قبل از آخرين ورود موفق نمایش داده شود. (براي تغيير IP به كاربر پیغام هشدار نشان داده شود)"	تکمیل		
	5	فرايند تشخيص و تصديق هويت كاربران علاوه بر استفاده از نام‌هاي كاربران و كلمات عبور بايد از توکن‌های سخت‌افزاري استفاده كند.			
	6	برای برنامه‌های کاربردی با اطلاعات مهم علاوه بر بند 5 باید یکی از روش‌هاي زیست سنجی يا زيرساخت کليد عمومی  (به صورت دو طرفه) استفاده شود.			
	7	‌برنامه‌ي كاربردي بايد مطمئن شود كه زنجيره‌اي از عامل‌هاي تصديق هويت شده بين كارگزار برنامه‌ي كاربردي و سامانه‌هاي پشت صحنه نظیر سامانه مديريت پايگاه داده  ايجاد شده باشد.			
	8	تمامي اطلاعات تصديق هويت كاربران بايد از طريق يك مسير امن ارسال شود. 			
	9	تمامي اطلاعات تصديق هويت كاربران بايد در رسانه‌هاي ذخيره‌سازي به صورت رمزنگاري شده ذخيره گردد.			
	10	تمامي اطلاعات تصديق هويت كاربران از طرف کلاینت باید بصورت  درهم سازی شده به سرور  ارسال گردد.			
	11	تصديق هويت برنامه‌ي كاربردي نبايد به عنوان راهكار جايگزين تصديق هويت سامانه‌هاي پشتيبان نظير سامانه‌های مديريت پايگاه داده‌ها در نظر گرفته شود.			
	12	"برنامه‌ي كاربردي بايد با ايجاد واسط‌هاي كاربري تعداد دفعات تلاش براي ورود ناموفق را، توسط مديران سامانه تنظيم‌پذير كند."			
	13	"برنامه‌ي كاربردي بايد با ايجاد سازوکار‌هایي، كاربراني را كه در يك مدت زمان مشخصي تلاش‌هاي ناموفقي براي ورود به برنامه‌ي كاربردي داشته‌اند، در زماني قابل تنظيم، قفل كند. همچنین برنامه کاربردی IP هایی را که برای N بار ارتباط در M دقیقه برای دسترسی خاص تلاش می کند را قفل نماید."			
	14	هيچ نقشي در سيستم نبايد بدون اطلاعات تصديق هويتي باشد. 			
	15	"برنامه‌ي كاربردي ابتدا بايد هويت كاربر را بصورت جداگانه تصديق كند
 و سپس صحت ادعاي عضويت يك كاربر را براي عضويت او در يك گروه/نقش خاص بررسي کند"			
	16	اطلاعات تصديق هويتي نباید در كد برنامه ذخیره شود.			
	17	"براي جلوگيري از انجام حملات جستجوی حالات ممکن  و حمله لغت‌نامه‌ای   بايد كلمه‌هاي عبور بر اساس خطمشی انتخاب كلمه‌هاي عبور انجام شود.
 از کد امنيتي captcha  با الگوي مناسب استفاده شود."			
	18	"مديريت كلمه‌هاي عبور در برنامه‌هاي كاربردي بايد داراي خواص زير باشد:
‌(1) مديران سامانه بايد قادر باشند به كاربران كلمه‌هاي عبور اختصاص دهند. 
(2) اجبار كاربران براي تغيير كلمه‌هاي عبوري كه مدير سامانه به آن‌ها اختصاص داده است بعد از اولين ورود.
‌(3) توانا كردن كاربران به قابليت تغيير كلمه‌هاي عبور به صورت دوره‌اي (حداقل دوره 3 ماهه) بر حسب خط مشی‌های سامانه و يا بر حسب تقاضاي كاربر
‌(4) اجبار كاربران به انتخاب كلمه‌هاي عبور جديد با حداقل 4 کاراکتر جديد.
‌(5) قابل تنظيم بودن تعداد كلمات عبور قبلي كه كاربر نمي‌تواند انتخاب نمايد.(حداقل آن 2 باشد)
(6)تعداد کاراکترهاي پسورد حداقل 8 باشد
(7)نوع پیچیدگی 2 نوع و برای هر نوع حداقل 3 کاراکتر باشد.
(8) نمایش گرافیکی قوت و ضعف کلمه عبور."			
	19	"برنامه‌ي كاربردي بايد تا زماني كه كاربر كلمه‌ي عبور تاريخ مصرف گذشته‌ي خود را عوض نكند، اجازه‌ي ورود به سامانه ندهد."			
	20	برنامه کاربردی باید قابلیت تولید نام کاربری تصادفی و همچنین قابل تولید توسط مدیر را داشته باشد. این قابلیت قابل تنظیم برای مدیر باشد. بصورتی که بتواند هر دو روش را همزمان یا بصورت جداگانه انتخاب نماید.			
	21	برنامه‌ي كاربردي نبايد اجازه دهد يك شناسه‌ي كاربر با چند كلمه‌ي عبور انتخاب شده و يا با يك شناسه كاري يكسان امكان ورود چندين كاربر وجود داشته باشد.			
	22	"برنامه‌ي كاربردي نبايد اطلاعات تصديق هويت كاربر را در  کوکي ها، اسکريپت هاي سمت كارگزار و يا مشتري ويا ديگر فايل‌هائي كه اين اطلاعات بتواند از آن بدست آيد، ذخيره كند."			
	23	برنامه‌ي كاربردي نبايد شامل شناسه‌ي كاربري بدون هويت(بدون انتشاب به شخص) براي ورود باشد. (سامانه بتواند شناسه کاربری بلااستفاده را بر حسب محدوده زماني شناسایی و براي مدیر قابل تنظیم باشد- مدير بتواند كاربراني كه از سازمان خارج شده اند را بدون حذف سوابق آنها غيرفعال نمايد)			
	24	اطلاعات برنامه‌ي كاربردي كه براي دسترسي به آن‌ها نيازي به راهكارهاي تصديق هويت نيست بايد شناسائي شده و از اطلاعات خصوصي كه براي دسترسي به آن‌ها نياز به تشخيص و تصديق هويت است تفكيك گردد.			
	25	برنامه‌ي كاربردي بايد بطور پيش فرض كمترين حق دسترسي را براي شناسه‌ي كاربري در نظر بگيرد.			
	26	رشته‌ي اتصال به پايگاه داده نبايد در كد برنامه و يا فايل‌هاي پيكربندي بصورت شفاف ذخيره گردد.			
	27	"برنامه‌ي كاربردي نبايد مشخص كند كه علت شكست ورود ، كلمه‌ي عبور نادرست بوده است و بايد شناسه کاربري را بعد از ورود ناموفق مجددا از کاربر بخواهد."			
	28	"برنامه‌ي كاربردي بايد تلاش‌هاي ناموفق براي ورود را براي مميزي، ردگيري كند."			
	29	"اگر کاربر وارد سامانه گرديد و سپس براي يک مدت زمان از سامانه استفاده ننمود، جهت استفاده مجدد بايد احراز هويت شود."			
	30	"جهت انجام هرگونه فعاليت حساس در سامانه احراز هويت مجدد از کاربر بايد صورت گيرد. صفحات حساس قابل تنظیم برای مدیر باشد.
برای سامانه‌های مهم شناسه نشست نیز تغییر یابد."			
